,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name
3779,0.62,0.951,6,0.106,0.0259,0.0,0.795,0.357,110.039,219973,4,SHINee
3780,0.632,0.981,11,0.113,0.0196,0.0,0.932,0.291,122.042,246947,4,SHINee
3781,0.618,0.775,4,0.0342,0.0927,0.0,0.13,0.436,114.016,224098,4,SHINee
3782,0.676,0.837,0,0.0523,0.0138,0.0,0.431,0.859,148.001,211961,4,SHINee
3783,0.581,0.965,9,0.119,0.0213,0.0,0.353,0.717,130.905,235347,4,SHINee
3784,0.711,0.948,8,0.0839,0.0514,0.0,0.22,0.96,119.992,203053,4,SHINee
3785,0.637,0.91,0,0.0757,0.00774,0.0,0.121,0.72,125.974,249773,4,SHINee
3786,0.54,0.941,0,0.123,0.00829,0.0,0.0784,0.532,128.002,231293,4,SHINee
3787,0.606,0.91,0,0.0473,0.00509,0.0,0.342,0.881,147.976,213387,4,SHINee
3788,0.552,0.911,1,0.136,0.131,0.0,0.333,0.89,95.987,191040,4,SHINee
3789,0.676,0.891,9,0.0458,0.0531,0.0,0.359,0.704,125.951,202507,4,SHINee
3790,0.884,0.791,11,0.203,0.0659,5.83e-05,0.0915,0.871,126.942,164080,4,SHINee
3791,0.823,0.88,7,0.104,0.0916,0.0,0.064,0.881,110.009,204853,4,SHINee
3792,0.737,0.908,4,0.0847,0.159,0.0,0.321,0.791,124.036,181507,4,SHINee
3793,0.528,0.718,4,0.0318,0.556,0.0,0.298,0.315,128.008,269520,4,SHINee
3794,0.806,0.777,2,0.0586,0.138,0.0,0.174,0.967,117.972,167347,4,SHINee
3795,0.57,0.962,9,0.114,0.0165,0.0,0.35,0.727,130.928,235347,4,SHINee
3796,0.709,0.943,8,0.0702,0.0515,0.0,0.12,0.963,119.977,203053,4,SHINee
3797,0.636,0.907,0,0.0743,0.00588,0.0,0.133,0.724,125.97,249773,4,SHINee
3798,0.545,0.942,0,0.119,0.00783,0.0,0.0911,0.472,128.03,231293,4,SHINee
3799,0.603,0.91,0,0.0444,0.00392,0.0,0.266,0.89,148.026,213387,4,SHINee
3800,0.559,0.91,1,0.131,0.139,0.0,0.329,0.876,95.977,191040,4,SHINee
3801,0.676,0.902,9,0.0448,0.0551,0.0,0.256,0.708,125.97,202507,4,SHINee
3802,0.891,0.784,11,0.208,0.0628,5.23e-05,0.0939,0.875,127.009,164080,4,SHINee
3803,0.833,0.875,7,0.128,0.0944,0.0,0.0749,0.85,110.064,204853,4,SHINee
3804,0.747,0.914,0,0.0838,0.157,0.0,0.258,0.793,124.032,181507,4,SHINee
3805,0.525,0.726,4,0.0317,0.567,0.0,0.3,0.391,127.994,269520,4,SHINee
3806,0.806,0.746,11,0.0603,0.138,0.0,0.206,0.965,117.967,167347,4,SHINee
3807,0.577,0.962,9,0.11,0.0181,0.0,0.359,0.723,130.896,235347,4,SHINee
3808,0.716,0.952,8,0.0812,0.0512,0.0,0.211,0.961,119.971,203053,4,SHINee
3809,0.636,0.903,0,0.0752,0.00818,0.0,0.121,0.758,125.944,249773,4,SHINee
3810,0.541,0.938,0,0.126,0.00952,0.0,0.0787,0.523,127.98,231293,4,SHINee
3811,0.614,0.914,0,0.0467,0.00486,0.0,0.338,0.877,148.046,213387,4,SHINee
3812,0.568,0.909,1,0.125,0.139,0.0,0.328,0.891,95.961,191040,4,SHINee
3813,0.68,0.891,9,0.0471,0.0539,0.0,0.39,0.721,125.936,202507,4,SHINee
3814,0.883,0.79,11,0.199,0.0717,4.34e-05,0.0915,0.843,126.941,164080,4,SHINee
3815,0.827,0.877,7,0.103,0.0984,0.0,0.051,0.895,110.053,204853,4,SHINee
3816,0.738,0.908,0,0.0825,0.149,0.0,0.322,0.798,124.025,181507,4,SHINee
3817,0.525,0.719,4,0.0318,0.585,0.0,0.299,0.378,127.995,269520,4,SHINee
3818,0.806,0.772,11,0.0575,0.126,0.0,0.171,0.966,117.968,167347,4,SHINee
3819,0.633,0.92,8,0.0685,0.0065,0.0,0.135,0.732,126.027,249292,4,SHINee
3820,0.595,0.854,0,0.0773,0.261,0.0,0.111,0.543,119.796,229676,4,SHINee
3821,0.758,0.935,9,0.095,0.131,0.0,0.453,0.768,118.003,199113,4,SHINee
3822,0.469,0.819,1,0.163,0.0648,0.0,0.0601,0.655,96.927,223088,4,SHINee
3823,0.706,0.886,7,0.203,0.0119,0.0,0.186,0.571,92.035,220813,4,SHINee
3824,0.497,0.609,6,0.0511,0.178,6.67e-05,0.301,0.528,188.987,241559,3,SHINee
3825,0.655,0.983,11,0.134,0.0413,0.0,0.32,0.702,122.019,247395,4,SHINee
3826,0.585,0.909,9,0.0605,0.096,0.0,0.118,0.307,98.059,291093,4,SHINee
3827,0.614,0.964,3,0.143,0.00836,0.0,0.0934,0.638,123.99,218053,4,SHINee
3828,0.676,0.901,11,0.0383,0.0875,0.0,0.699,0.791,130.001,210347,4,SHINee
3829,0.592,0.883,1,0.0487,0.0712,0.0,0.325,0.494,109.982,253960,4,SHINee
3830,0.627,0.882,11,0.0294,0.154,0.0,0.165,0.689,107.991,191507,4,SHINee
3831,0.541,0.987,9,0.159,0.0283,0.0,0.0906,0.583,160.097,252107,4,SHINee
3832,0.433,0.679,1,0.0384,0.269,0.0,0.0927,0.624,174.014,199733,4,SHINee
3833,0.674,0.866,1,0.0317,0.376,0.0,0.148,0.556,97.976,232973,4,SHINee
3834,0.712,0.892,10,0.0655,0.0691,0.0,0.333,0.748,120.005,215493,4,SHINee
3835,0.656,0.938,5,0.0972,0.0357,0.0,0.724,0.341,106.981,236693,4,SHINee
3836,0.485,0.85,8,0.0429,0.207,0.0,0.125,0.648,84.02,212013,4,SHINee
3837,0.354,0.555,0,0.0346,0.561,0.0,0.0901,0.335,203.997,244880,3,SHINee
3838,0.599,0.91,2,0.0589,0.113,1.64e-06,0.119,0.319,98.011,291627,4,SHINee
3839,0.624,0.963,3,0.121,0.00841,0.0,0.0916,0.621,123.999,218053,4,SHINee
3840,0.688,0.914,11,0.0371,0.0983,0.0,0.703,0.776,129.996,210627,4,SHINee
3841,0.6,0.887,1,0.0468,0.0681,0.0,0.317,0.51,109.988,253960,4,SHINee
3842,0.636,0.895,11,0.0304,0.147,0.0,0.244,0.646,108.0,191547,4,SHINee
3843,0.554,0.986,9,0.153,0.0281,0.0,0.0835,0.598,160.086,251533,4,SHINee
3844,0.444,0.688,1,0.039,0.254,0.0,0.0792,0.63,173.978,200080,4,SHINee
3845,0.679,0.862,1,0.0314,0.354,0.0,0.131,0.549,97.993,233093,4,SHINee
3846,0.725,0.886,7,0.0786,0.0747,0.0,0.425,0.744,120.044,215493,4,SHINee
3847,0.663,0.939,5,0.0862,0.0315,0.0,0.606,0.354,107.013,236853,4,SHINee
3848,0.459,0.851,8,0.044,0.22,0.0,0.186,0.629,168.007,212013,4,SHINee
3849,0.379,0.573,0,0.0315,0.537,0.0,0.09,0.343,204.281,244880,3,SHINee
3850,0.599,0.91,2,0.0589,0.113,1.64e-06,0.115,0.319,98.011,293093,4,SHINee
3851,0.624,0.963,3,0.121,0.00841,0.0,0.0916,0.621,123.999,218053,4,SHINee
3852,0.688,0.914,11,0.0371,0.0983,0.0,0.702,0.776,129.996,212347,4,SHINee
3853,0.6,0.887,1,0.0468,0.0681,0.0,0.317,0.51,109.988,253960,4,SHINee
3854,0.636,0.895,11,0.0304,0.147,0.0,0.266,0.646,108.0,193507,4,SHINee
3855,0.554,0.986,9,0.153,0.0281,0.0,0.076,0.598,160.092,255187,4,SHINee
3856,0.444,0.688,1,0.039,0.254,0.0,0.0778,0.63,173.978,202733,4,SHINee
3857,0.679,0.862,1,0.0314,0.354,0.0,0.0609,0.549,97.993,235973,4,SHINee
3858,0.725,0.886,7,0.0786,0.0747,0.0,0.425,0.744,120.044,215493,4,SHINee
3859,0.664,0.936,5,0.0852,0.0311,0.0,0.331,0.379,107.013,240693,4,SHINee
3860,0.459,0.851,8,0.044,0.22,0.0,0.186,0.629,168.007,212013,4,SHINee
3861,0.379,0.573,0,0.0315,0.537,0.0,0.09,0.343,204.281,244880,3,SHINee
3862,0.612,0.819,9,0.142,0.018,0.0,0.346,0.427,104.923,211560,4,SHINee
3863,0.724,0.939,11,0.0736,0.0429,0.0,0.304,0.732,124.063,180165,4,SHINee
3864,0.619,0.946,10,0.0698,0.0034,0.000331,0.45,0.763,108.986,247997,4,SHINee
3865,0.843,0.795,1,0.0653,0.225,0.0,0.528,0.744,104.978,219842,4,SHINee
3866,0.689,0.899,2,0.185,0.0445,0.0,0.0514,0.917,172.111,166545,4,SHINee
3867,0.71,0.882,1,0.0573,0.152,0.0,0.183,0.642,100.007,224493,4,SHINee
3868,0.592,0.861,7,0.0357,0.0423,0.0,0.329,0.274,125.033,198509,4,SHINee
