,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
597,0.684,0.816,7,0.0707,0.0894,0.0,0.265,0.742,98.056,170280,4,SHINee,2017-01-27,Gentleman,gentleman
598,0.7440000000000001,0.9179999999999999,5,0.213,0.006529999999999999,1.97e-06,0.544,0.7,115.03399999999999,200347,4,SHINee,2017-01-27,Mr. Right Guy,right-guy
599,0.652,0.9470000000000001,3,0.0698,0.00202,0.0,0.904,0.594,124.012,226667,4,SHINee,2017-01-27,ABOAB,
600,0.545,0.9159999999999999,7,0.0505,0.000801,0.0,0.541,0.735,108.015,255800,4,SHINee,2017-01-27,君のせいで,
601,0.68,0.912,0,0.0694,0.0733,0.0,0.113,0.628,99.962,222547,4,SHINee,2017-01-27,Do Me Right,do-me-right
602,0.596,0.9109999999999999,0,0.06,0.0158,0.0,0.602,0.5589999999999999,163.986,197373,4,SHINee,2017-01-27,Become Undone,become-undone
603,0.6629999999999999,0.91,6,0.0603,0.0634,0.0,0.11,0.9570000000000001,115.01700000000001,222080,4,SHINee,2017-01-27,Get The Treasure,get-the-treasure
604,0.693,0.8909999999999999,5,0.0637,0.2,0.0,0.0423,0.9059999999999999,108.027,205680,4,SHINee,2017-01-27,1 of 1 - Japanese Ver.,1-of-1-japanese
605,0.603,0.922,2,0.0727,0.0266,0.0,0.161,0.787,110.06700000000001,182747,4,SHINee,2017-01-27,Nothing To Lose,nothing-to-lose
606,0.593,0.723,5,0.0402,0.0764,0.0,0.115,0.42200000000000004,120.064,253987,4,SHINee,2017-01-27,Melody,melody
607,0.452,0.736,8,0.0348,0.16,0.0,0.19399999999999998,0.425,158.08,248133,4,SHINee,2017-01-27,Winter Wonderland,winter-wonderland
608,0.5489999999999999,0.8079999999999999,10,0.0494,0.0525,0.0,0.0858,0.43200000000000005,127.99799999999999,252733,4,SHINee,2017-01-27,Diamond Sky,diamond-sky
609,0.602,0.9259999999999999,7,0.177,0.102,0.0,0.317,0.28800000000000003,125.10700000000001,246787,4,SHINee,2016-11-15,Tell Me What To Do,tell-me-what-to-do
610,0.28600000000000003,0.27699999999999997,11,0.0322,0.871,6.52e-06,0.129,0.155,133.638,254373,4,SHINee,2016-11-15,별빛 바램 Wish Upon a Star,wish-upon-a-star
611,0.563,0.66,11,0.0471,0.387,7.71e-06,0.141,0.55,92.071,265760,4,SHINee,2016-11-15,한마디 Beautiful Life,beautiful-life
612,0.71,0.6709999999999999,10,0.0484,0.000606,0.0,0.127,0.424,99.97,200267,4,SHINee,2016-11-15,Rescue,rescue
613,0.596,0.327,7,0.0253,0.895,0.0,0.141,0.44,96.068,249587,4,SHINee,2016-11-15,If You Love Her,if-you-love-her
614,0.631,0.902,4,0.0353,0.0421,0.799,0.18899999999999997,0.0891,124.999,244467,4,SHINee,2016-11-15,Tell Me What To Do - Instrumental,tell-me-what-to-do-instrumental
615,0.365,0.231,11,0.0319,0.9390000000000001,0.887,0.13,0.0439,133.734,254373,4,SHINee,2016-11-15,별빛 바램 Wish Upon a Star - Instrumental,wish-upon-a-star-instrumental
616,0.611,0.539,2,0.0332,0.368,0.8440000000000001,0.0959,0.253,91.99799999999999,265760,4,SHINee,2016-11-15,한마디 Beautiful Life - Instrumental,beautiful-life-instrumental
617,0.872,0.6,10,0.0337,2.57e-05,0.217,0.11199999999999999,0.24600000000000002,100.01100000000001,200267,4,SHINee,2016-11-15,Rescue - Instrumental,rescue-instrumental
618,0.713,0.195,3,0.0479,0.985,0.914,0.188,0.251,96.04799999999999,249816,4,SHINee,2016-11-15,If You Love Her - Instrumental,if-you-love-her-instrumental
619,0.652,0.885,11,0.071,0.284,0.0,0.184,0.888,138.055,191567,4,SHINee,2016-11-15,Prism,prism
620,0.6940000000000001,0.879,5,0.0515,0.0635,0.0,0.0478,0.84,108.045,203885,4,SHINee,2016-11-15,1 of 1,1-of-1
621,0.639,0.7240000000000001,8,0.184,0.156,0.0,0.0639,0.382,109.854,219813,4,SHINee,2016-11-15,Feel Good,feel-good
622,0.605,0.919,7,0.0579,0.156,0.0,0.6709999999999999,0.789,92.016,223352,4,SHINee,2016-11-15,투명 우산 Don't Let Me Go,let-me-go
623,0.698,0.816,1,0.0672,0.29600000000000004,0.0,0.121,0.552,97.009,214662,4,SHINee,2016-11-15,Lipstick,lipstick
624,0.785,0.653,8,0.0664,0.22899999999999998,4.73e-05,0.0867,0.698,114.93299999999999,245107,4,SHINee,2016-11-15,Don't Stop,stop
625,0.731,0.875,0,0.0487,0.11599999999999999,0.0,0.6629999999999999,0.698,124.973,182001,4,SHINee,2016-11-15,SHIFT,shift
626,0.631,0.8140000000000001,1,0.317,0.0134,0.0,0.0703,0.899,109.604,210296,4,SHINee,2016-11-15,U Need Me,u-need-me
627,0.672,0.8809999999999999,2,0.0569,0.0521,0.0,0.22699999999999998,0.838,110.001,217396,4,SHINee,2016-11-15,So Amazing (Special Track),so-amazing
628,0.652,0.885,11,0.071,0.284,0.0,0.184,0.888,138.055,191567,4,SHINee,2016-09-29,Prism,prism
629,0.6940000000000001,0.879,5,0.0515,0.0635,0.0,0.0478,0.84,108.045,203885,4,SHINee,2016-09-29,1 of 1,1-of-1
630,0.639,0.7240000000000001,8,0.184,0.156,0.0,0.0639,0.382,109.854,219813,4,SHINee,2016-09-29,Feel Good,feel-good
631,0.605,0.919,7,0.0579,0.156,0.0,0.6709999999999999,0.789,92.016,223352,4,SHINee,2016-09-29,투명 우산 Don’t Let Me Go,let-me-go
632,0.698,0.816,1,0.0672,0.29600000000000004,0.0,0.121,0.552,97.009,214662,4,SHINee,2016-09-29,Lipstick,lipstick
633,0.785,0.653,8,0.0664,0.22899999999999998,4.73e-05,0.0867,0.698,114.93299999999999,245107,4,SHINee,2016-09-29,Don’t Stop,stop
634,0.731,0.875,0,0.0487,0.11599999999999999,0.0,0.6629999999999999,0.698,124.973,182001,4,SHINee,2016-09-29,SHIFT,shift
635,0.631,0.8140000000000001,1,0.317,0.0134,0.0,0.0703,0.899,109.604,210296,4,SHINee,2016-09-29,U Need Me,u-need-me
636,0.672,0.8809999999999999,2,0.0569,0.0521,0.0,0.22699999999999998,0.838,110.001,217396,4,SHINee,2016-09-29,So Amazing (Special Track),so-amazing
637,0.5529999999999999,0.903,8,0.071,0.5529999999999999,0.0035299999999999997,0.402,0.342,100.014,96440,4,SHINee,2016-04-20,"SHINee, In the House - Live",in-the-house-live
638,0.607,0.97,1,0.125,0.0117,0.0,0.777,0.218,107.031,251400,4,SHINee,2016-04-20,Sherlock - SHINee WORLD 4 Version / Live,sherlock-world-4-version-live
639,0.63,0.9179999999999999,5,0.0504,0.149,0.0,0.54,0.37,101.015,225547,4,SHINee,2016-04-20,SHINe (Medusa Ⅰ) - SHINee WORLD 4 Version / Live,world-4-version-live
640,0.621,0.945,9,0.0623,0.0304,0.0,0.45299999999999996,0.37,127.96799999999999,230253,4,SHINee,2016-04-20,낯선자 Stranger - SHINee WORLD 4 Version / Live,stranger-world-4-version-live
641,0.534,0.955,0,0.113,0.0055,0.0,0.871,0.281,128.05,228333,4,SHINee,2016-04-20,Picasso - Korean Version / Live,picasso-korean-version-live
