,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
0,0.662,0.928,8,0.132,0.0557,0.00122,0.127,0.824,105.067,205785,4,Girls' Generation,2017-08-04
1,0.777,0.807,9,0.0517,0.0308,2.93e-05,0.228,0.732,129.984,222894,4,Girls' Generation,2017-08-04
2,0.709,0.867,1,0.0672,0.0406,0.0,0.275,0.877,120.022,199563,4,Girls' Generation,2017-08-04
3,0.593,0.878,2,0.0469,0.199,1.42e-05,0.316,0.52,97.993,230635,4,Girls' Generation,2017-08-04
4,0.49,0.931,4,0.237,0.049,3.58e-06,0.395,0.247,191.682,195631,4,Girls' Generation,2017-08-04
5,0.692,0.602,7,0.0253,0.0667,0.0,0.108,0.521,111.068,214251,4,Girls' Generation,2017-08-04
6,0.612,0.786,10,0.163,0.275,0.0,0.0725,0.729,98.913,200541,4,Girls' Generation,2017-08-04
7,0.609,0.715,7,0.044,0.351,0.0,0.155,0.672,129.964,218022,4,Girls' Generation,2017-08-04
8,0.631,0.711,7,0.0411,0.038,0.0,0.131,0.407,92.014,232616,4,Girls' Generation,2017-08-04
9,0.433,0.651,2,0.037,0.125,0.0,0.229,0.378,171.882,241107,4,Girls' Generation,2017-08-04
10,0.754,0.788,2,0.0322,0.129,0.00274,0.0775,0.961,124.992,224258,4,Girls' Generation,2015-08-19
11,0.697,0.832,4,0.05,0.00322,0.0,0.196,0.286,100.017,188609,4,Girls' Generation,2015-08-19
12,0.753,0.887,10,0.0359,0.111,1.43e-05,0.0729,0.946,122.981,193814,4,Girls' Generation,2015-08-19
13,0.641,0.749,10,0.0475,0.67,4.99e-05,0.122,0.57,105.968,215940,4,Girls' Generation,2015-08-19
14,0.585,0.789,0,0.0666,0.0577,0.0,0.755,0.577,129.93,219077,4,Girls' Generation,2015-08-19
15,0.766,0.82,2,0.114,0.166,0.0,0.349,0.623,123.022,191311,4,Girls' Generation,2015-08-19
16,0.68,0.833,0,0.0608,0.0449,0.0,0.772,0.553,155.916,203279,4,Girls' Generation,2015-08-19
17,0.738,0.828,4,0.037,0.0349,1.25e-05,0.0547,0.334,130.002,172667,4,Girls' Generation,2015-08-19
18,0.784,0.803,1,0.0416,0.0976,0.0,0.291,0.78,115.982,230822,4,Girls' Generation,2015-08-19
19,0.752,0.866,2,0.0323,0.0883,0.0,0.209,0.582,99.979,206961,4,Girls' Generation,2015-08-19
20,0.69,0.684,3,0.0521,0.00213,0.000538,0.184,0.87,128.062,197277,4,Girls' Generation,2015-08-19
21,0.706,0.895,7,0.0843,0.293,0.0,0.0682,0.604,88.024,228638,4,Girls' Generation,2015-08-19
22,0.772,0.839,9,0.123,0.209,0.0,0.568,0.691,122.976,221440,4,Girls' Generation,2014-10-15
23,0.741,0.899,1,0.0337,0.197,0.0,0.0918,0.752,99.962,201027,4,Girls' Generation,2014-10-15
24,0.822,0.936,10,0.0943,0.0356,0.0,0.0845,0.867,122.003,213213,4,Girls' Generation,2014-10-15
25,0.749,0.972,5,0.0424,0.0339,1.79e-05,0.18,0.567,143.997,188733,4,Girls' Generation,2014-10-15
26,0.85,0.9,11,0.0609,0.0692,1.2e-05,0.161,0.757,129.999,201853,4,Girls' Generation,2014-10-15
27,0.711,0.963,7,0.0565,0.115,3.07e-06,0.788,0.945,128.001,197760,4,Girls' Generation,2014-10-15
28,0.899,0.963,1,0.0926,0.161,0.0,0.246,0.904,114.987,227027,4,Girls' Generation,2014-10-15
29,0.809,0.781,7,0.0738,0.0597,8.44e-06,0.218,0.65,129.022,226987,4,Girls' Generation,2014-10-15
30,0.723,0.83,2,0.0353,0.00767,0.0,0.367,0.648,117.987,198267,4,Girls' Generation,2014-10-15
31,0.605,0.932,7,0.189,0.021,0.00489,0.307,0.916,190.149,186960,4,Girls' Generation,2014-10-15
32,0.745,0.967,9,0.0958,0.0222,0.000996,0.346,0.569,119.999,190533,4,Girls' Generation,2014-10-15
33,0.722,0.943,4,0.0966,0.0967,1.22e-05,0.198,0.517,113.039,235613,4,Girls' Generation,2014-10-15
34,0.66,0.833,4,0.0379,0.035,0.0,0.208,0.833,120.051,186267,4,Girls' Generation,2014-10-15
35,0.589,0.74,11,0.0348,0.0829,0.0,0.12,0.511,90.012,216920,4,Girls' Generation,2014-10-15
36,0.411,0.652,9,0.0367,0.395,0.0,0.113,0.227,74.943,250133,4,Girls' Generation,2014-10-15
37,0.714,0.832,2,0.0663,0.109,0.0,0.797,0.547,129.899,218400,4,Girls' Generation,2014-10-15
38,0.772,0.839,9,0.123,0.209,0.0,0.568,0.691,122.976,221440,4,Girls' Generation,2014-07-23
39,0.741,0.899,1,0.0337,0.197,0.0,0.0918,0.752,99.962,201027,4,Girls' Generation,2014-07-23
40,0.842,0.898,11,0.0655,0.0768,1.79e-05,0.167,0.757,130.004,201853,4,Girls' Generation,2014-07-23
41,0.821,0.929,10,0.101,0.0386,0.0,0.0972,0.895,121.996,213213,4,Girls' Generation,2014-07-23
42,0.734,0.731,7,0.0581,0.0137,0.0,0.0676,0.964,114.872,225560,4,Girls' Generation,2014-07-23
43,0.484,0.649,8,0.0452,0.123,0.0,0.136,0.333,82.992,234053,4,Girls' Generation,2014-07-23
44,0.809,0.785,7,0.0816,0.0661,8.69e-06,0.179,0.631,129.036,226973,4,Girls' Generation,2014-07-23
45,0.748,0.972,2,0.0425,0.0357,9.79e-06,0.186,0.562,143.995,188733,4,Girls' Generation,2014-07-23
46,0.474,0.827,8,0.0878,0.0862,0.0,0.128,0.624,167.822,223200,4,Girls' Generation,2014-07-23
