,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.737,0.747,7,0.0273,0.229,0.0,0.223,0.594,118.02,211867,4,iKON,2018-09-26,LOVE SCENARIO - JP Ver.,love-scenario-jp
1,0.737,0.846,3,0.0965,0.231,0.0,0.0915,0.749,110.002,198147,4,iKON,2018-09-26,BEAUTIFUL - JP Ver.,beautiful-jp
2,0.564,0.791,10,0.283,0.0395,0.0,0.409,0.32,171.593,208840,4,iKON,2018-09-26,ONE AND ONLY - KR Ver.,one-and-only-kr
3,0.683,0.799,5,0.0365,0.217,0.0,0.0886,0.713,87.015,225093,4,iKON,2018-09-26,JERK - JP Ver.,jerk-jp
4,0.732,0.794,4,0.0395,0.236,0.0,0.112,0.748,102.071,232160,4,iKON,2018-09-26,BEST FRIEND - JP Ver.,best-friend-jp
5,0.618,0.824,0,0.0349,0.0221,0.0,0.14,0.421,130.088,216733,4,iKON,2018-09-26,EVERYTHING - JP Ver.,everything-jp
6,0.538,0.699,7,0.122,0.219,0.0,0.0458,0.603,171.439,219147,4,iKON,2018-09-26,HUG ME - JP Ver.,hug-me-jp
7,0.651,0.589,3,0.101,0.233,0.0,0.0923,0.349,139.64,254453,4,iKON,2018-09-26,DON'T FORGET - JP Ver.,forget-jp
8,0.72,0.806,0,0.0374,0.267,0.0,0.0744,0.715,130.067,199627,4,iKON,2018-09-26,RUBBER BAND - JP Ver.,rubber-band-jp
9,0.622,0.695,4,0.0387,0.253,0.0,0.169,0.235,99.95,213813,4,iKON,2018-09-26,#WYD - JP Ver.,jp
10,0.688,0.984,2,0.0555,0.0499,0.0,0.294,0.974,160.003,211267,4,iKON,2018-09-26,LOVE ME,love-me
11,0.529,0.991,7,0.126,0.0376,0.0,0.869,0.213,124.983,221653,4,iKON,2018-03-07,BLING BLING - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,japan-dome-tour-2017-additional-shows
12,0.446,0.976,2,0.122,0.000354,1.03e-06,0.474,0.103,100.996,185280,4,iKON,2018-03-07,SINOSIJAK - REMIX iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,remix-japan-dome-tour-2017-additional-shows
13,0.282,0.969,1,0.125,0.00241,0.0,0.496,0.264,132.917,222080,4,iKON,2018-03-07,JUST ANOTHER BOY - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,just-another-boy-japan-dome-tour-2017-additional-shows
14,0.596,0.587,8,0.0358,0.75,0.0,0.983,0.673,94.022,217587,4,iKON,2018-03-07,MY TYPE - REMIX (Acoustic Ver.) iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,my-type-remix-japan-dome-tour-2017-additional-shows
15,0.457,0.792,6,0.0476,0.227,0.0,0.641,0.319,99.68,214333,4,iKON,2018-03-07,#WYD - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,japan-dome-tour-2017-additional-shows
16,0.449,0.888,10,0.113,0.00837,1.23e-06,0.698,0.203,87.391,193200,4,iKON,2018-03-07,BE I - REMIX iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,be-i-remix-japan-dome-tour-2017-additional-shows
17,0.513,0.973,10,0.0771,0.187,0.0,0.943,0.267,100.998,233053,4,iKON,2018-03-07,HOLUP! - REMIX iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,remix-japan-dome-tour-2017-additional-shows
18,0.497,0.948,8,0.102,0.00121,0.0,0.909,0.526,94.97,217507,4,iKON,2018-03-07,ANTHEM - B.I&BOBBY iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,anthem-japan-dome-tour-2017-additional-shows
19,0.589,0.892,8,0.0508,0.0679,0.0,0.948,0.34,93.007,228653,4,iKON,2018-03-07,RUNAWAY - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,runaway-japan-dome-tour-2017-additional-shows
20,0.532,0.725,2,0.0471,0.54,0.0,0.729,0.641,119.869,220280,3,iKON,2018-03-07,PERFECT - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,perfect-japan-dome-tour-2017-additional-shows
21,0.422,0.768,0,0.156,0.175,0.0,0.968,0.45,173.66,218573,4,iKON,2018-03-07,AIRPLANE - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,airplane-japan-dome-tour-2017-additional-shows
22,0.544,0.667,8,0.0294,0.553,0.0,0.842,0.469,115.451,218267,3,iKON,2018-03-07,JUST GO - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,just-go-japan-dome-tour-2017-additional-shows
23,0.46,0.802,6,0.0756,0.256,0.0,0.663,0.295,149.922,231027,4,iKON,2018-03-07,APOLOGY - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,apology-japan-dome-tour-2017-additional-shows
24,0.376,0.978,7,0.299,0.0059,0.0,0.949,0.28,174.26,228707,4,iKON,2018-03-07,RHYTHM TA - REMIX (Rock Ver.) iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,rhythm-ta-remix-japan-dome-tour-2017-additional-shows
25,0.52,0.952,1,0.0921,0.0316,0.0,0.984,0.43,130.02,215040,4,iKON,2018-03-07,B-DAY - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,japan-dome-tour-2017-additional-shows
26,0.499,0.949,1,0.0768,0.0396,0.0,0.957,0.257,129.984,243040,4,iKON,2018-03-07,DUMB & DUMBER - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,dumb-dumber-japan-dome-tour-2017-additional-shows
27,0.51,0.955,0,0.0944,0.0538,0.0,0.727,0.477,127.954,229813,4,iKON,2018-03-07,WHAT'S WRONG? - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,japan-dome-tour-2017-additional-shows
28,0.525,0.907,8,0.0364,0.0856,0.0,0.934,0.312,100.001,207547,4,iKON,2018-03-07,WORLDWIDE - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,worldwide-japan-dome-tour-2017-additional-shows
29,0.553,0.884,0,0.0977,0.591,0.0,0.389,0.458,95.159,213347,4,iKON,2018-03-07,LONG TIME NO SEE - iKON JAPAN DOME TOUR 2017 ADDITIONAL SHOWS,long-time-no-see-japan-dome-tour-2017-additional-shows
30,0.807,0.71,7,0.0305,0.33,0.0,0.294,0.76,117.987,209648,4,iKON,2018-01-27,LOVE SCENARIO - KR Ver.,love-scenario-kr
