,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
56,0.63,0.881,4,0.0433,0.000467,0.0,0.0405,0.54,121.468,157653,4,One Direction,2013-11-25
57,0.568,0.691,9,0.0306,0.188,0.0,0.0861,0.396,131.007,221733,4,One Direction,2013-11-25
58,0.547,0.649,2,0.0298,0.00793,0.0,0.201,0.361,114.019,236520,4,One Direction,2013-11-25
59,0.591,0.899,0,0.0536,0.00726,0.0,0.393,0.446,139.547,197920,4,One Direction,2013-11-25
60,0.627,0.839,11,0.0508,0.114,0.0,0.534,0.79,157.993,208667,4,One Direction,2013-11-25
61,0.523,0.939,8,0.0454,0.000754,0.0,0.0406,0.788,160.019,174360,4,One Direction,2013-11-25
62,0.675,0.874,3,0.0494,0.085,0.0,0.0573,0.673,139.021,179413,4,One Direction,2013-11-25
63,0.6,0.895,1,0.0468,0.001,0.0,0.145,0.383,129.987,161333,4,One Direction,2013-11-25
64,0.515,0.714,0,0.0348,0.286,0.0,0.118,0.495,155.954,188547,4,One Direction,2013-11-25
65,0.663,0.857,2,0.0544,0.0542,0.0,0.144,0.931,126.036,200213,4,One Direction,2013-05-22
66,0.637,0.931,4,0.0512,0.0177,0.0,0.452,0.886,90.014,182867,4,One Direction,2013-05-22
67,0.709,0.22,7,0.0327,0.811,0.0,0.175,0.53,110.078,219040,4,One Direction,2013-05-22
68,0.638,0.943,5,0.0857,0.015,0.0,0.311,0.744,142.889,164680,4,One Direction,2013-05-22
69,0.533,0.819,4,0.0431,0.0437,0.0,0.215,0.49,82.123,203547,4,One Direction,2013-05-22
70,0.44,0.836,9,0.0724,0.0165,0.0,0.0955,0.638,99.041,176120,4,One Direction,2013-05-22
71,0.505,0.91,8,0.0528,0.0262,0.0,0.155,0.809,168.019,200267,4,One Direction,2013-05-22
72,0.599,0.595,2,0.0281,0.0634,0.0,0.103,0.474,117.033,212893,4,One Direction,2013-05-22
73,0.72,0.725,4,0.0463,0.00603,0.0,0.24,0.678,126.471,200920,4,One Direction,2013-05-22
74,0.373,0.575,2,0.0916,0.302,0.0,0.125,0.5,72.593,182040,4,One Direction,2013-05-22
75,0.565,0.911,2,0.0765,0.0194,0.0,0.0925,0.508,160.036,178440,4,One Direction,2013-05-22
76,0.514,0.727,0,0.0493,0.126,0.0,0.0978,0.37,147.904,200400,4,One Direction,2013-05-22
77,0.495,0.585,9,0.0311,0.329,0.0,0.406,0.317,121.993,208040,4,One Direction,2013-05-22
78,0.49,0.917,8,0.133,0.00891,0.0,0.184,0.781,167.57,190560,4,One Direction,2013-05-22
79,0.697,0.893,2,0.06,0.0543,0.0,0.631,0.792,124.021,184307,4,One Direction,2013-05-22
80,0.658,0.801,11,0.0335,0.00727,0.0,0.0448,0.877,124.012,211627,4,One Direction,2013-05-22
81,0.614,0.984,1,0.0765,0.0118,0.0,0.65,0.778,142.003,182133,4,One Direction,2013-05-22
82,0.671,0.389,0,0.0314,0.543,0.0,0.223,0.537,113.054,180067,4,One Direction,2013-05-22
83,0.644,0.852,11,0.0427,0.0111,0.0,0.0749,0.862,134.024,184000,4,One Direction,2013-05-22
84,0.536,0.488,7,0.0244,0.0346,0.0,0.113,0.263,87.987,236853,4,One Direction,2013-05-22
85,0.565,0.888,11,0.0823,0.00934,0.0,0.154,0.755,127.958,195733,4,One Direction,2013-05-22
86,0.681,0.793,1,0.0936,0.00464,0.0,0.361,0.566,127.975,263280,4,One Direction,2013-05-22
87,0.658,0.837,2,0.0543,0.0629,0.0,0.0969,0.936,126.015,200187,4,One Direction,2012-11-12
88,0.63,0.934,4,0.0589,0.0186,0.0,0.324,0.905,89.992,182960,4,One Direction,2012-11-12
89,0.707,0.222,7,0.0329,0.788,0.0,0.205,0.556,110.095,219640,4,One Direction,2012-11-12
90,0.64,0.941,5,0.0893,0.0123,0.0,0.305,0.761,142.905,164880,4,One Direction,2012-11-12
91,0.531,0.811,4,0.0426,0.0563,0.0,0.272,0.484,82.14,203347,4,One Direction,2012-11-12
92,0.43,0.831,9,0.0692,0.0136,0.0,0.109,0.616,99.016,176067,4,One Direction,2012-11-12
93,0.503,0.917,8,0.055,0.0354,0.0,0.28,0.79,168.018,200040,4,One Direction,2012-11-12
94,0.592,0.619,2,0.0279,0.0519,0.0,0.103,0.517,117.021,212520,4,One Direction,2012-11-12
95,0.72,0.711,4,0.0508,0.00768,0.0,0.243,0.596,126.452,202200,4,One Direction,2012-11-12
96,0.545,0.556,2,0.062,0.308,0.0,0.131,0.55,149.913,182200,4,One Direction,2012-11-12
97,0.567,0.919,2,0.0733,0.0183,0.0,0.111,0.548,160.036,178373,4,One Direction,2012-11-12
98,0.512,0.754,0,0.055,0.135,0.0,0.0881,0.336,147.89,201693,4,One Direction,2012-11-12
99,0.499,0.593,9,0.031,0.355,0.0,0.357,0.286,122.026,208387,4,One Direction,2012-11-12
100,0.658,0.837,2,0.0543,0.0629,0.0,0.0969,0.936,126.015,200187,4,One Direction,2012-11-09
101,0.63,0.934,4,0.0589,0.0186,0.0,0.324,0.905,89.992,182960,4,One Direction,2012-11-09
102,0.707,0.222,7,0.0329,0.788,0.0,0.205,0.556,110.095,219640,4,One Direction,2012-11-09
103,0.64,0.941,5,0.0893,0.0123,0.0,0.305,0.761,142.905,164880,4,One Direction,2012-11-09
104,0.531,0.811,4,0.0426,0.0563,0.0,0.272,0.484,82.14,203347,4,One Direction,2012-11-09
105,0.43,0.831,9,0.0692,0.0136,0.0,0.109,0.616,99.016,176067,4,One Direction,2012-11-09
106,0.503,0.917,8,0.055,0.0354,0.0,0.28,0.79,168.018,200040,4,One Direction,2012-11-09
107,0.592,0.619,2,0.0279,0.0519,0.0,0.103,0.517,117.021,212520,4,One Direction,2012-11-09
108,0.72,0.711,4,0.0508,0.00768,0.0,0.243,0.596,126.452,202200,4,One Direction,2012-11-09
109,0.545,0.556,2,0.062,0.308,0.0,0.131,0.55,149.913,182200,4,One Direction,2012-11-09
110,0.567,0.919,2,0.0733,0.0183,0.0,0.111,0.548,160.036,178373,4,One Direction,2012-11-09
111,0.512,0.754,0,0.055,0.135,0.0,0.0881,0.336,147.89,201693,4,One Direction,2012-11-09
112,0.499,0.593,9,0.031,0.355,0.0,0.391,0.286,122.026,208200,4,One Direction,2012-11-09
113,0.486,0.918,8,0.126,0.00908,0.0,0.171,0.849,167.635,190720,4,One Direction,2012-11-09
114,0.696,0.892,2,0.0583,0.0598,0.0,0.419,0.79,124.016,185280,4,One Direction,2012-11-09
115,0.657,0.809,11,0.0347,0.00709,0.0,0.0452,0.859,124.009,211293,4,One Direction,2012-11-09
116,0.616,0.983,1,0.0718,0.013,0.0,0.384,0.769,141.998,182813,4,One Direction,2012-11-09
117,0.726,0.787,4,0.0738,0.009,0.0,0.0596,0.888,124.989,199987,4,One Direction,2012-08-08
