,0,1
0,still-alive,"

[intro: g-dragon]
(i'm still alive)
(i'm still alive)
(i'm still alive)
죽어가는 듯 보이지만 죽지 않아
남들의 시선을 피해 결코 숨지 않아 (oh)

[hook: taeyang]
언제나 보란 듯이 끝까지 추락하지만, i'm alive (alive)
난 더 이상 잃을 게 없어, 과거는 뒤로하고 jump out (jump out)
깊이 떨어지고 있는 내 모습이 아름다워
지금 내 자신을 하늘에 던져, 난 자유로워
이 순간만큼은 난 살아 있어, i'm still alive (alive)

[verse 1: t.o.p]
yeah, 나를 사랑하는 그녀가 불행해 보여
자취를 감추네, 대중들이 두려워
많은 동경과 환호, 정서 불안
죽음에 대해 고뇌해, 괴로운 밤
내 젊음의 유품은 사진뿐
내 청춘은 남들의 장식품
영적인 기를 받는 내 감성
네가 보지 못한 미래 (난 봤어)
내 인생 멜로디는 내가 지휘해
고조되는 climax를 즐기네
내게 미친 소녀들은 똑똑해
자격지심, 너를 가지고 놀기에

[pre-hook: seungri & daesung]
사람들 다 떠나도, 모두가 등을 돌려도
가여운 듯한 내 모습에 너 동정해도
세상은 안 된다고 내게 말하지만
그날의 울고 있던 난 지금 웃고 있어
( [?] )

[hook: taeyang, g-dragon, t.o.p & bigbang]
언제나 보란 듯이 끝까지 추락하지만, i'm alive (alive)
난 더 이상 잃을 게 없어, 과거는 뒤로하고 jump out (jump out)
깊이 떨어지고 있는 내 모습이 아름다워
지금 내 자신을 하늘에 던져, 난 자유로워
이 순간만큼은 난 살아 있어, i'm still alive (alive)
i'm still alive (oh oh oh, oh oh oh)
i'm still alive (oh oh oh oh)
i'm still alive (oh oh oh, oh oh oh)
i'm livin' that, i'm livin' that good life (oh oh oh oh)
i'm still alive (oh oh oh, oh oh oh)
i'm still alive (oh oh oh oh)
i'm still alive (oh oh oh, oh oh oh)
we're livin' that, we're livin' that good life (oh oh oh oh)

[verse 2: g-dragon]
(leggo)
소리 없이 사라진 함성
대신에 탄식 섞인 탄성
이 감성 시대의 내 반성은 찬송
양성보다 무서운 악성 방송
각성하라, 아무개나 (yeah)
단정 말아, 아무 때나 (brrra)
난 죽어 가는 듯 보이지만 죽지 않아
남들의 시선을 피해 결코 숨지 않아 (oh)
그 손가락질은 내가 아직 이슈란 증거 (that's right)
실망과 기대, 이유와 근거 ( [?] )
입에 오르락내리락해, 구설수
날 기다리는 건 양지바른 무덤뿐 (yup)

[pre-hook: seungri & daesung]
사람들 다 떠나도, 모두가 등을 돌려도
가여운 듯한 내 모습에 너 동정해도
세상은 안 된다고 내게 말하지만
그날의 울고 있던 난 지금 웃고 있어
( [?] )

[hook: taeyang, g-dragon, t.o.p & bigbang]
언제나 보란 듯이 끝까지 추락하지만, i'm alive (alive)
난 더 이상 잃을 게 없어, 과거는 뒤로하고 jump out (jump out)
깊이 떨어지고 있는 내 모습이 아름다워
지금 내 자신을 하늘에 던져, 난 자유로워
이 순간만큼은 난 살아 있어, i'm still alive (alive)
i'm still alive (oh oh oh, oh oh oh)
i'm still alive (oh oh oh oh)
i'm still alive (oh oh oh, oh oh oh)
i'm livin' that, i'm livin' that good life (oh oh oh oh)
i'm still alive (oh oh oh, oh oh oh)
i'm still alive (oh oh oh oh)
i'm still alive (oh oh oh, oh oh oh)
we're livin' that, we're livin' that good life (oh oh oh oh)

"
1,love-dust,"

[intro: ?]
(love) (love)
(love) (change)
(love) (hate)
(love) (dust)
(dust)
(dust)
(woo)
(dust)
(woo)

[verse 1: taeyang & daesung]
내 친구가 네 얘기를 해
좋아 보였단 말에 괜히 화를 내
어쩌면 아직도 나 땜에 네가
힘들어하길 바랬는지 몰라
요즘 가끔 나도 모르게
우리 같이 즐겨 듣던 노래를 해
옛 추억에 잠긴 오늘 같은 날
이유 없이 보고 싶어지는 밤

[pre-hook: seungri]
그땐 내가 너무 어려서
사랑이 어려워서
널 피하려고만 했지
난 부담이 됐고-우워
불만이 됐죠-우워
끝내 너를 울리고

[hook: taeyang, daesung & seungri]
오늘이 지나면 넌 사라질 먼지
사랑이 뭔지
나 슬퍼 보인다면 내 눈물은 연기
춤추는 연기처럼
내일이면 또 아무렇지 않게 하루가 시작돼
널 잊고 살겠죠
그저 네가 행복해지길
나는 이곳에서 남아서 웃으며 빌어 줄게

[verse 2: t.o.p & g-dragon]
uh
혹시 기억하니, 우리들 처음 만난 날
순수한 미소 가득히 sauvignon blanc
널 향한 이유 없는 순종
때론 거침없던 충돌
이별이 운명이란 현실 앞의 내 마지막 분노
마침 들려오는 radio에서 공감되는 사연
지금 내 맘과 똑같다며 (woo) (ayy)
혹시 네가 아닐까 생각하다 잠이 와
시간은 참 빨리 가
넌 잘 있을까 (woo)

[pre-hook: seungri & daesung]
그땐 내가 너무 어려서
사랑이 어려워서
도망치려고만 했지
결국 부담이 됐고-우워
불만이 됐죠-우워
이젠 늦어 버렸지만

[hook: taeyang, daesung & seungri]
오늘이 지나면 넌 사라질 먼지
사랑이 뭔지
나 슬퍼 보인다면 내 눈물은 연기
춤추는 연기처럼
내일이면 또 아무렇지 않게 하루가 시작돼
널 잊고 살겠죠
그저 네가 행복해지길
나는 이곳에서 남아서 웃으며 빌어 줄게

[bridge: daesung, taeyang & ?]
언젠가 길을 지나다
우리 다시 만날 그런 날이 온다면
그 언젠가는 서로 다른 사람과
행복한 모습으로 웃을 수 있게
so long
(love) (love)
(love) (change)
(love) (hate)
(love) (dust)

[hook: taeyang, daesung & seungri]
오늘이 지나면 넌 사라질 먼지
사랑이 뭔지
나 슬퍼 보인다면 내 눈물은 연기
춤추는 연기처럼
내일이면 또 아무렇지 않게 하루가 시작돼
널 잊고 살겠죠
그저 네가 행복해지길
나는 이곳에서 남아서 웃으며 빌어 줄게

"
2,fantastic-baby,"

[verse 1: g-dragon]
yeogi buteora, modu moyeora
we gon' party like, lilililalala~
mameul yeoreora, meoril biwora
bureul jjipyeora lilililalala~

[verse 2: taeyang]
jeongdabeun mutjji malkko geudaero badadeuryeo neukkimdaero ga alright~
haneureul majuhago du soneul
tta wiro jeo wiro nalttwikko sipeo-oh~

[chorus: g-dragon & seungri]
nanananana nanananana~
wow fantastic baby~
dance! (ooh-hoo~)
i wanna dance dance dance da-dance
fantastic baby~
dance! (ooh-hoo~)
i wanna dance dance dance da-dance
wow fantastic baby~

[verse 3: g-dragon]
i nanjangpane, hey!
kkeutpan wang charye, hey!
ttangeul heundeulkko
sam buneuron bulchungbunhan race (wait! )
bunwigineun gwayeol~ huh!
catch me on fire~ huh!
jinjjaga natanattta nananana~

[verse 4: t.o.p]
hanabuteo yeolkkaji
modeun ge da han suwi
morae beolpan wireul michin
deusi ttwieobwado, geotteunhan kuri
haneureun chungbunhi
neomuna pureunikka
amugeottto mutjji mallan mariya
neukkiran mariya naega nugunji

[pre-chorus: taeyang & daesung]
ne simjangsorie yematkae
ttwigi sijakae magi kkeunnal ttae kkajiye~
i can't, baby don't stop this
oneureun tarakae
micheo barakae ganeungeoya~

[chorus: g-dragon & seungri]
nanananana nanananana~
wow fantastic baby~
dance! (ooh-hoo~)
i wanna dance dance dance da-dance
fantastic baby~
dance! (ooh-hoo~)
i wanna dance dance dance da-dance
wow fantastic baby~

[post-chorus: t.o.p]
boom! shakalaka! boom! shakalaka! boom! shakalaka!
dance dance dance da-dance
boom! shakalaka! boom! shakalaka! boom! shakalaka!
da-da-da-da dance dance~

[verse 5: seungri]
nal ttara jababol temyeon babwa
nan yeongwonhan ttanttara
oneul ppam geumgiran naegen eopsseo~
mama just let me be your lover
i hollan sogeul neomeo oh-oh-oh-oh~ nanananana~

[verse 6: t.o.p & g-dragon]
meorikkeutpputeo balkkeutkkaji visual eun shock~
nae gamgageun somunnan kkun apsseoganeun chok
namdeulppodaneun ppareun georeum
chawoni dareun jeomeum
eoreumeoreumeoreum (hold up! ) nanananana~

[pre-chorus: taeyang & daesung]
ne simjangsorie yematkae
ttwigi sijakae magi kkeunnal ttae kkajiye~
i can't, baby don't stop this
oneureun tarakae
micheo barakae ganeungeoya~

[chorus: g-dragon & seungri]
nanananana nanananana~
wow fantastic baby~
dance! (ooh-hoo~)
i wanna dance dance dance da-dance
fantastic baby~
dance! (ooh-hoo~)
i wanna dance dance dance da-dance
wow fantastic baby~

[post-chorus: t.o.p]
boom! shakalaka! boom! shakalaka! boom! shakalaka!
dance dance dance da-dance
boom! shakalaka! boom! shakalaka! boom! shakalaka!
da-da-da-da dance dance~

[outro: g-dragon]
da gachi nolja (yea yea yeah! )
da gachi tteja (yea yea yeah! )
da gachi dolja (yea yea yeah! )
da gachi raja (wow fantastic baby~)

"
3,blue,"

[pre-chorus: g-dragon]
gyeouri gago bomi chajaojyo urin sideulgo
keurium soge mami meongdeureotjyo

[g-dragon, seungri]
(i'm singing my blues)
paran nunmure paran seulpeume gildeulyeojyeo
(i'm singing my blues)
tteungureume nallyeobonaen sarang oh oh

[verse 1: g-dragon, daesung]
gateun haneul dareun got neowana wiheomhanikka
noegeso tteonajuneun geoya
nimiran geulja-e jeomhana bigeophajiman
naega motna sumneun geoya
janinhan ibyeoreun sarange mallo
geu eotteon maldo wiro dwel suneun eopdago
ama nae insaengui majimak mellow
magi naeryeo oneyo ije

taeonaseo neol mannago jugeul mankeum saranghago
parahke muldeureo sirin nae maeum
nuneul gamado neol neukkil su eopjanha

[pre-chorus: taeyang]
gyeouri gago bomi chajaojyo urin sideulgo
keurium soge mami meongdeureotjyo

[chorus: g-dragon, seungri]
(i'm singing my blues)
paran nunmure paran seulpeume gildeulyeojyeo
(i'm singing my blues)
tteungureume nallyeobonaen sarang oh oh

[verse 2: t.o.p, taeyang]
simjangi meojeun geot man gata jeonjaengi kkeutnago geu gose eoreo buteun neowana
nae meorisok saegyeojin trauma i nunmul mareumyeon chokchokhi gieokhari nae sarang
gweropjido weropjido anha haengbokeun da honjatmal geu isange bokjaphan gon mot chama
daesureupji amureohjido anha byeolsu eoptneun banghwang saramdeureun watda ganda

taeonaseo neol mannago jugeul mankeum saranghago
parahke muldeuro sirin nae maeum
neoneun tteonado nan geudaero itjanha

[pre-chorus: daesung]
gyeouri gago bomi chajaojyo urin sideulgo
keurium soge mami meongdeureotjyo

[bridge: taeyang]
oneuldo paran jeo dalbit araeye na hollo jami deulgetjyo
kkumsogeseodo nan geudaereul chaja hemaeimyo
i noraereul bulleoyo

[outro: g-dragon, seungri]
(i'm singing my blues)
paran nunmure paran seulpeume gildeulyeojyeo
(i'm singing my blues)
tteungureume nallyeobonaen sarang
(i'm singing my blues)
paran nunmure paran seulpeume gildeulyeojyeo
(i'm singing my blues)
tteungureume nallyeobonaen sarang oh oh

"
4,bad-boy,"

ah...
baby come back...
ayo choice, drop it on me

[g-dragon]
그날 밤은 내가 너무 심했어
니가 진짜로 떠나갈 줄은 몰랐어
“내가 미안해” 이 말 한마디 어려워서
우린 끝까지 가 내 성격이 더러워서
말도 안 되는 일로 다투기를 하루에도 수십 번
넌 울면서 뛰쳐나가 난 주위를 두리번
다시 돌아오겠지 내일이면
분명 먼저 연락이 오겠지 아침이면

[daesung:]
baby 난 못해 너무나 못 돼서
더 잘해주고 싶은데 잘 안돼
everyday and night i'm so mean
cuz i'm so real so i'm sorry
(but i can't change)

[g-dragon:]
니가 사랑하는 나는 sorry i'm a bad boy
그래 차라리 떠나 잘 가요 you're a good girl
시간이 갈수록 날 알면은 알수록
실망만 남았겠지만

[taeyang:]
baby don't leave me
i know you still love me
왜 그래 솔직히 나 말해 니가 필요해
my lay lay lay lay lady
my lay lay lay lay lady

[t.o.p:]
보통남자와 달라 너무 힘들다고
넌 아직도 소녀같이 너무 여려
매일같이 웃어주는 네 곁엔 내가 너무 어려
바쁘다는 핑계로 약속을 미뤄버려
미안한 나 속상한 마음에 고개를 돌려버려
내 꿈속의 신부 이제 그냥 친구
헤어짐이 아쉬운 우리들의 침묵

[seungri:]
baby 난 못해 너무나 못 돼서
더 잘해주고 싶은데 그게 안돼
everyday and night i'm so mean
cuz i'm so real so i'm sorry
(but i can't change)

[t.o.p:]
니가 사랑하는 나는 sorry i'm a bad boy
그래 차라리 떠나 잘 가요 you’re a good girl
시간이 갈수록 날 알면은 알수록
실망만 남았겠지만

[taeyang:]
baby don't leave me
i know you still love me
왜 그래 솔직히 나 말해 니가 필요해
my lay lay lay lay lady
my lay lay lay lay lady

[seungri:]
아무 말 하지마
[daesung:]
괜히 강한 척 했지만 속은 달라
[seungri:]
날 버리지마
[daesung:]
내게는 너만큼 날 이해해줄 사람

[taeyang:]
은 없단 걸 넌 알고 있잖아요 baby
oh 그대 back to me ye ye ye

[g-dragon:]
니가 사랑하는 나는 sorry i'm a bad boy
그래 차라리 떠나 잘가요 you’re a good girl
시간이 갈수록 날 알면은 알수록
실망만 남았겠지만

[taeyang:]
baby don't leave me
i know you still love me
왜 그래 솔직히 나 말해 니가 필요해
my lay lay lay lay lady
my lay lay lay lay lady

[gd & top:]
니가 사랑하는 나는
sorry i'm a bad boy
sorry i'm a bad boy
sorry i'm a bad boy

그래 차라리 떠나 잘 가요
you’re a good girl
you’re a good girl
you’re a good girl

니가 사랑하는 나는
sorry i'm a bad boy
sorry i'm a bad boy
sorry i'm a bad boy

그래 차라리 떠나 잘 가요
you’re a good girl
you’re a good girl
you’re a good girl

"
5,high-high,"

[g-dragon]
a star has entered, treat him well
top class and mr.g in the the club in ma b-boy stance
two people who really know how to party, our relationship is better than ever
everybody makin' move, makin' move, pull hard
[top]
countdown freedom i've been waiting for over the limit
only strong fox wresting, 1 minute, 1 second is
i promise you forever, hey come on and make some noise!
i'm tonight president, my girl yo fly!

[together]
high high, i'm so high!
high high, up in the sky!
high high, i'm so high!
fly fly, touch the sky!
ha ha ha ha ha
say la la la la la
ha ha ha ha ha (ah~)

[g-dragon]
ok hum, sing
humming i have a butterfly high. like lightning jump up high like ninja
our opinion aren't the same, but in the end our plans are the same
follow me, go crazy everyone to the sky and fall
[top]
people who look like they enjoy everything, like they understand
in some ways it doesn't mean a lot
they're pretending they're not, pretending to be innocent
catch me and play with me, if you don't want to run away
i aks who is the center of this city, whoever it is

[together]
high high, i'm so high
high high, up in the sky
high high, i'm so high
fly fly, touch the sky
ha ha ha ha ha
say la la la la la
ha ha ha ha ha (ah~)

[g-dragon]
baby wait a second stop now, there's no time
you can only live life once, not listening to anyone for no reason
[top]
baby wait a second stop now, there's no time
you can only live life once, not listening to anyone for no reason
[together]
g.h.e.t.t.o e.l.e.c.t.r.o
might go crazy, don't try to stop me here we go
g.h.e.t.t.o e.l.e.c.t.r.o
might get exhausted, don't stop here we go
go go go go go go)

high high, i'm so high
high high, up in the sky
high high, i'm so high
fly fly, touch the sky
ha ha ha ha ha
say la la la la la
ha ha ha ha ha (ah~)

"
